source,target
train.py:GeneratorFullModel.forward,train.py:split_kp
train.py:GeneratorFullModel.forward,modules/losses.py:generator_loss
modules/losses.py:generator_loss,modules/losses.py:reconstruction_loss
modules/losses.py:generator_loss,modules/losses.py:generator_gan_loss
train.py:DiscriminatorFullModel.forward,train.py:split_kp
train.py:DiscriminatorFullModel.forward,modules/losses.py:discriminator_loss
modules/losses.py:discriminator_loss,modules/losses.py:discriminator_gan_loss
train.py:train,logger.py:load_cpk
train.py:train,logger.py:Logger
train.py:train,modules/losses.py:generator_loss_names
train.py:train,modules/losses.py:discriminator_loss_names
prediction.py:KPDataset.__init__,augmentation.py:SelectRandomFrames
prediction.py:prediction,frames_dataset.py:FramesDataset
prediction.py:prediction,augmentation.py:VideoToTensor
prediction.py:prediction,logger.py:load_cpk
prediction.py:prediction,modules/prediction_module.py:PredictionModule
prediction.py:prediction,reconstruction.py:generate
prediction.py:prediction,logger.py:Visualizer
demo.py:<module>,modules/generator.py:MotionTransferGenerator
demo.py:<module>,modules/keypoint_detector.py:KPDetector
demo.py:<module>,logger.py:load_cpk
demo.py:<module>,augmentation.py:VideoToTensor
demo.py:<module>,frames_dataset.py:read_video
demo.py:<module>,transfer.py:transfer_one
transfer.py:transfer_one,transfer.py:normalize_kp
augmentation.py:RandomResize.__call__,augmentation.py:resize_clip
augmentation.py:RandomCrop.__call__,augmentation.py:pad_clip
augmentation.py:RandomCrop.__call__,augmentation.py:crop_clip
run.py:<module>,modules/generator.py:MotionTransferGenerator
run.py:<module>,modules/discriminator.py:Discriminator
run.py:<module>,modules/keypoint_detector.py:KPDetector
run.py:<module>,frames_dataset.py:FramesDataset
run.py:<module>,train.py:train
run.py:<module>,reconstruction.py:reconstruction
run.py:<module>,transfer.py:transfer
run.py:<module>,prediction.py:prediction
reconstruction.py:reconstruction,logger.py:load_cpk
reconstruction.py:reconstruction,reconstruction.py:generate
reconstruction.py:reconstruction,logger.py:Visualizer
reconstruction.py:reconstruction,modules/losses.py:reconstruction_loss
transfer.py:transfer,frames_dataset.py:PairedDataset
transfer.py:transfer,logger.py:load_cpk
transfer.py:transfer,transfer.py:transfer_one
transfer.py:transfer,logger.py:Visualizer
frames_dataset.py:FramesDataset.__init__,augmentation.py:AllAugmentationTransform
frames_dataset.py:FramesDataset.__init__,augmentation.py:VideoToTensor
frames_dataset.py:FramesDataset.__getitem__,frames_dataset.py:read_video
transfer.py:normalize_kp,modules/util.py:matrix_inverse
transfer.py:normalize_kp,transfer.py:make_symetric_matrix
modules/losses.py:reconstruction_loss,modules/losses.py:mean_batch
sync_batchnorm/replicate.py:DataParallelWithCallback.replicate,sync_batchnorm/replicate.py:execute_replication_callbacks
sync_batchnorm/replicate.py:new_replicate,sync_batchnorm/replicate.py:execute_replication_callbacks
sync_batchnorm/batchnorm.py:_SynchronizedBatchNorm.forward,sync_batchnorm/batchnorm.py:_sum_ft
sync_batchnorm/batchnorm.py:_SynchronizedBatchNorm.forward,sync_batchnorm/batchnorm.py:_unsqueeze_ft
sync_batchnorm/unittest.py:TorchTestCase.assertTensorClose,sync_batchnorm/unittest.py:as_numpy
data/split.py:<module>,data/split.py:mv_all_images
modules/dense_motion_module.py:DenseMotionModule.__init__,modules/movement_embedding.py:MovementEmbeddingModule
modules/dense_motion_module.py:DenseMotionModule.__init__,modules/util.py:SameBlock3D
modules/dense_motion_module.py:DenseMotionModule.__init__,modules/util.py:Hourglass
modules/dense_motion_module.py:DenseMotionModule.forward,modules/util.py:make_coordinate_grid
modules/dense_motion_module.py:IdentityDeformation.forward,modules/util.py:make_coordinate_grid
modules/losses.py:generator_gan_loss,modules/losses.py:mean_batch
modules/losses.py:discriminator_gan_loss,modules/losses.py:mean_batch
modules/keypoint_detector.py:kp2gaussian,modules/util.py:make_coordinate_grid
modules/keypoint_detector.py:kp2gaussian,modules/util.py:matrix_inverse
modules/keypoint_detector.py:gaussian2kp,modules/util.py:make_coordinate_grid
modules/keypoint_detector.py:gaussian2kp,modules/util.py:smallest_singular
modules/keypoint_detector.py:KPDetector.__init__,modules/util.py:Hourglass
modules/keypoint_detector.py:KPDetector.forward,modules/keypoint_detector.py:gaussian2kp
modules/discriminator.py:Discriminator.__init__,modules/movement_embedding.py:MovementEmbeddingModule
modules/movement_embedding.py:MovementEmbeddingModule.forward,modules/keypoint_detector.py:kp2gaussian
modules/movement_embedding.py:MovementEmbeddingModule.forward,modules/util.py:make_coordinate_grid
modules/generator.py:MotionTransferGenerator.__init__,modules/util.py:Encoder
modules/generator.py:MotionTransferGenerator.__init__,modules/movement_embedding.py:MovementEmbeddingModule
modules/generator.py:MotionTransferGenerator.__init__,modules/dense_motion_module.py:DenseMotionModule
modules/generator.py:MotionTransferGenerator.__init__,modules/dense_motion_module.py:IdentityDeformation
modules/generator.py:MotionTransferGenerator.__init__,modules/util.py:Decoder
modules/generator.py:MotionTransferGenerator.__init__,modules/util.py:ResBlock3D
sup-mat/MGif/bg_removal_tool.py:process,sup-mat/MGif/bg_removal_tool.py:color_as_num
sup-mat/MGif/bg_removal_tool.py:<module>,sup-mat/MGif/bg_removal_tool.py:get_files_by_file_size
sup-mat/MGif/bg_removal_tool.py:<module>,sup-mat/MGif/bg_removal_tool.py:convert_gif_to_frames
sup-mat/MGif/bg_removal_tool.py:<module>,sup-mat/MGif/bg_removal_tool.py:process
